,RestaurantsDelivery,RestaurantsTakeOut,RestaurantsPriceRange2,BusinessAcceptsCreditCards,RestaurantsReservations,GoodForKids,RestaurantsGoodForGroups,business_id,is_open
0,False,False,1,False,False,False,False,Dl1alpHSJE4_iB0MGKRLXw,0
1,True,True,1,True,False,True,False,RsTF2skxLcp6qo9FdnA5PA,0
2,False,True,1,True,False,True,True,_-SSObHzljeA11HAF0lIrQ,0
3,True,True,1,True,False,True,True,ZfWVso8VlT0VN14rxVHccQ,0
4,True,True,1,True,False,True,True,vLT1KtrA9bWvjFOg-0xVIg,0
5,False,True,1,True,False,True,True,25ZRypSbZUHrPe6PFYQ2sw,0
6,True,True,1,True,False,True,True,Vj_72qKqpL10ECZfbHDyBw,0
7,True,True,2,True,False,True,True,v8IbZ6wcvdyGqWpbDKDvfA,0
8,False,True,1,True,False,True,True,Hqz96v1ymucUKNzIWfEKXw,0
9,False,True,1,True,False,True,False,qZIiURCjON7QcTzNtG9JpQ,0
10,True,True,1,True,False,True,False,kgMEBZG6rjkGeFzPaIM4MQ,0
11,False,True,1,False,False,False,False,69y8BIrahfo6I_5AkIYf-g,0
12,False,True,1,True,False,True,False,xxxL7I3hGCEymNlYLXUyBA,0
13,True,True,1,True,False,True,False,Jn5nZ0b-cdBS2xHnF4msug,0
14,True,True,1,True,False,True,True,1_hDCN3iioFR3XnUr32ZtA,0
15,False,True,1,True,False,False,True,NvJg4ysrB7J0hrsb2A0gUg,0
16,False,True,1,True,False,True,True,iPM6J0JxLjXZtExli1OBDA,0
17,False,False,1,True,False,False,False,7czFDmcXhqzcqvUnenNg6w,0
18,True,True,1,True,False,True,True,7YiLEuHuUONZrMPT0OxXUQ,0
19,True,True,2,True,False,True,False,w9hS5x1F52Id-G1KTrAOZg,0
20,False,True,1,True,False,True,False,nqzOH_1CBGe2VrsxTziuvg,0
21,True,True,1,True,False,True,True,0_fd3nMhIVlJyLV76dTCAQ,0
22,False,True,2,True,False,True,False,71b0dSgq1XTYYYWs24Fhow,0
23,True,False,1,False,False,False,False,-LmhsdQproqCf5EQoD06rQ,0
24,False,True,1,True,False,True,True,eS4billU3Yd9hoVUFfZFbA,0
25,True,True,1,True,False,True,False,gq4zw-ru_rkZ2UBIanaZFQ,0
26,True,True,1,True,False,True,False,rZZ6gtsqBVkpSLoZ9EZ_1A,0
27,False,True,1,True,False,False,False,s8zQJgjBhlwE-qcGPKnGsQ,0
28,False,True,1,True,False,True,True,7E3mhfqDUSe0oKaZ9VikGg,0
29,True,True,2,True,False,True,True,3LnezhNbL_Arcs2ihIRL_Q,0
30,False,True,1,True,False,False,False,hgdh0gKSczCIjLikWtZpGg,0
